model,policy,train_sec,quant_sec,ftz_kb,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
base_e50_lr05_ng2_char,strict_topic03,7.81,1.32,158.3,1.0,1.0,1.0,1.0,0.7794117647058824,0.5196078431372549,0.09375,1.0,0.041916167664670656,0.0,0.4928,0.45767610926237384,0.38549618320610685
base_e50_lr05_ng2_char,relaxed_topic20,7.81,1.32,158.3,1.0,0.0004683129664044827,1.0,0.13333333333333333,0.7794117647058824,0.5196078431372549,0.09375,0.8769230769230769,0.3413173652694611,0.08421052631578947,0.6182965299684542,0.6187626774847871,0.46946564885496184
ng1_char_e50_lr05,strict_topic03,7.7,1.26,158.3,1.0,0.01323282066732645,1.0,0.022222222222222223,0.7941176470588235,0.5294117647058824,0.0875,0.9512195121951219,0.23353293413173654,0.021052631578947368,0.5873015873015873,0.5801509492685963,0.4618320610687023
ng1_char_e50_lr05,relaxed_topic20,7.7,1.26,158.3,1.0,0.0004144815029576421,1.0,0.06666666666666667,0.7941176470588235,0.5294117647058824,0.0875,0.8709677419354839,0.32335329341317365,0.08421052631578947,0.612954186413902,0.6139841910712706,0.4732824427480916
ng3_char_e50_lr05,strict_topic03,10.95,1.3,158.3,1.0,0.002810927340760827,1.0,0.022222222222222223,0.7638888888888888,0.5392156862745098,0.10625,0.875,0.2934131736526946,0.07368421052631578,0.60347551342812,0.6029779756824231,0.4541984732824427
ng3_char_e50_lr05,relaxed_topic20,10.95,1.3,158.3,1.0,0.00044055713806301355,1.0,0.044444444444444446,0.7638888888888888,0.5392156862745098,0.10625,0.8571428571428571,0.32335329341317365,0.09473684210526316,0.61198738170347,0.6136265200732967,0.4580152671755725
base_nochar_e50_lr05,strict_topic03,17.66,2.24,164.4,1.0,1.0,1.0,1.0,0.7692307692307693,0.7843137254901961,0.15,1.0,0.03592814371257485,0.0,0.576,0.5367636110841159,0.3816793893129771
base_nochar_e50_lr05,relaxed_topic20,17.66,2.24,164.4,1.0,0.0003669706347864121,1.0,0.17777777777777778,0.7692307692307693,0.7843137254901961,0.15,0.84,0.25149700598802394,0.08421052631578947,0.6603174603174602,0.6649045592386325,0.44274809160305345
base_char_e70_lr03,strict_topic03,14.42,1.26,158.3,1.0,0.9994742274284363,1.0,0.022222222222222223,0.7619047619047619,0.47058823529411764,0.09375,1.0,0.041916167664670656,0.0,0.47679999999999995,0.43987353642526056,0.38549618320610685
base_char_e70_lr03,relaxed_topic20,14.42,1.26,158.3,1.0,0.00044055713806301355,1.0,0.17777777777777778,0.7619047619047619,0.47058823529411764,0.09375,0.8266666666666667,0.3712574850299401,0.1368421052631579,0.5996860282574568,0.5995209007066714,0.4541984732824427
base_char_e30_lr08,strict_topic03,12.88,1.58,158.3,1.0,0.9961855411529541,1.0,0.022222222222222223,0.7910447761194029,0.5196078431372549,0.0875,1.0,0.0658682634730539,0.0,0.5056,0.4756911444449919,0.40076335877862596
base_char_e30_lr08,relaxed_topic20,12.88,1.58,158.3,1.0,0.00038998457603156567,1.0,0.15555555555555556,0.7910447761194029,0.5196078431372549,0.0875,0.7916666666666666,0.3413173652694611,0.15789473684210525,0.5962145110410095,0.6011071422859251,0.45038167938931295
base_char_e50_lr05_dim50,strict_topic03,5.17,0.71,83.3,1.0,0.3998216390609741,1.0,0.022222222222222223,0.7857142857142857,0.5392156862745098,0.09375,1.0,0.15568862275449102,0.0,0.5573248407643312,0.5412646109576016,0.4312977099236641
base_char_e50_lr05_dim50,relaxed_topic20,5.17,0.71,83.3,1.0,0.0004020417982246727,1.0,0.13333333333333333,0.7857142857142857,0.5392156862745098,0.09375,0.8461538461538461,0.32934131736526945,0.10526315789473684,0.612954186413902,0.6157657563012949,0.46564885496183206
base_char_e50_lr05_bucket500k,strict_topic03,6.15,0.99,158.3,1.0,0.9969346523284912,1.0,0.022222222222222223,0.7794117647058824,0.5196078431372549,0.09375,1.0,0.059880239520958084,0.0,0.5024,0.4709275849509824,0.3969465648854962
base_char_e50_lr05_bucket500k,relaxed_topic20,6.15,0.99,158.3,1.0,0.00042731568100862205,1.0,0.15555555555555556,0.7794117647058824,0.5196078431372549,0.09375,0.8387096774193549,0.31137724550898205,0.10526315789473684,0.5962145110410095,0.5975238334672344,0.4580152671755725
