combo,s1_train_sec,s2_train_sec,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
s1_char__s2_char,9.28,22.36,0.02,0.03,1.0,1.0,1.0,1.0,0.8518518518518519,0.45098039215686275,0.05,1.0,0.38323353293413176,0.0,0.6219512195121951,0.6142469674068187,0.5305343511450382
s1_char__s2_char,9.28,22.36,0.02,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5149700598802395,0.0,0.6827794561933535,0.6708894969764535,0.5877862595419847
s1_char__s2_char,9.28,22.36,0.02,0.2,1.0,0.0695517510175705,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.8501676407142073,0.732824427480916
s1_char__s2_char,9.28,22.36,0.05,0.03,1.0,1.0,1.0,1.0,0.8518518518518519,0.45098039215686275,0.05,1.0,0.38323353293413176,0.0,0.6219512195121951,0.6142469674068187,0.5305343511450382
s1_char__s2_char,9.28,22.36,0.05,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5149700598802395,0.0,0.6827794561933535,0.6708894969764535,0.5877862595419847
s1_char__s2_char,9.28,22.36,0.05,0.2,1.0,0.0695517510175705,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.8501676407142073,0.732824427480916
s1_char__s2_char,9.28,22.36,0.08,0.03,1.0,1.0,1.0,1.0,0.8518518518518519,0.45098039215686275,0.05,1.0,0.38323353293413176,0.0,0.6219512195121951,0.6142469674068187,0.5305343511450382
s1_char__s2_char,9.28,22.36,0.08,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5149700598802395,0.0,0.6827794561933535,0.6708894969764535,0.5877862595419847
s1_char__s2_char,9.28,22.36,0.08,0.2,1.0,0.0695517510175705,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.8501676407142073,0.732824427480916
s1_char__s2_char,9.28,22.36,0.1,0.03,1.0,1.0,1.0,1.0,0.8518518518518519,0.45098039215686275,0.05,1.0,0.38323353293413176,0.0,0.6219512195121951,0.6142469674068187,0.5305343511450382
s1_char__s2_char,9.28,22.36,0.1,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5149700598802395,0.0,0.6827794561933535,0.6708894969764535,0.5877862595419847
s1_char__s2_char,9.28,22.36,0.1,0.2,1.0,0.0695517510175705,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.8501676407142073,0.732824427480916
s1_char__s2_ng1,9.28,18.31,0.02,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8518518518518519,0.45098039215686275,0.05,1.0,0.39520958083832336,0.0,0.6280487804878049,0.6201290150270234,0.5343511450381679
s1_char__s2_ng1,9.28,18.31,0.02,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5209580838323353,0.0,0.684766214177979,0.6726219879249663,0.5916030534351145
s1_char__s2_ng1,9.28,18.31,0.02,0.2,1.0,0.06372499465942383,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.8879056047197642,0.8473700331470306,0.7290076335877863
s1_char__s2_ng1,9.28,18.31,0.05,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8518518518518519,0.45098039215686275,0.05,1.0,0.39520958083832336,0.0,0.6280487804878049,0.6201290150270234,0.5343511450381679
s1_char__s2_ng1,9.28,18.31,0.05,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5209580838323353,0.0,0.684766214177979,0.6726219879249663,0.5916030534351145
s1_char__s2_ng1,9.28,18.31,0.05,0.2,1.0,0.06372499465942383,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.8879056047197642,0.8473700331470306,0.7290076335877863
s1_char__s2_ng1,9.28,18.31,0.08,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8518518518518519,0.45098039215686275,0.05,1.0,0.39520958083832336,0.0,0.6280487804878049,0.6201290150270234,0.5343511450381679
s1_char__s2_ng1,9.28,18.31,0.08,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5209580838323353,0.0,0.684766214177979,0.6726219879249663,0.5916030534351145
s1_char__s2_ng1,9.28,18.31,0.08,0.2,1.0,0.06372499465942383,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.8879056047197642,0.8473700331470306,0.7290076335877863
s1_char__s2_ng1,9.28,18.31,0.1,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8518518518518519,0.45098039215686275,0.05,1.0,0.39520958083832336,0.0,0.6280487804878049,0.6201290150270234,0.5343511450381679
s1_char__s2_ng1,9.28,18.31,0.1,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8518518518518519,0.45098039215686275,0.05,1.0,0.5209580838323353,0.0,0.684766214177979,0.6726219879249663,0.5916030534351145
s1_char__s2_ng1,9.28,18.31,0.1,0.2,1.0,0.06372499465942383,1.0,0.2,0.8518518518518519,0.45098039215686275,0.05,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.8879056047197642,0.8473700331470306,0.7290076335877863
s1_nochar__s2_char,12.0,22.36,0.02,0.03,1.0,1.0,1.0,1.0,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.38323353293413176,0.0,0.6534351145038167,0.6517180735930737,0.5343511450381679
