model_type,name,train_sec,quant_sec,ftz_path,ftz_kb,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.02,0.03,0.053413331508636475,0.9991804361343384,0.01818181818181818,0.02702702702702703,0.8333333333333334,0.7,0.042682926829268296,0.8735632183908046,0.7450980392156863,0.09821428571428571,0.8055555555555556,0.7967381590245047,0.7476635514018691
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.02,0.1,0.053413331508636475,0.7826725244522095,0.01818181818181818,0.08108108108108109,0.8333333333333334,0.7,0.042682926829268296,0.8514851485148515,0.8431372549019608,0.13392857142857142,0.8300395256916996,0.8172540337820259,0.7757009345794392
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.02,0.2,0.053413331508636475,0.01323282066732645,0.01818181818181818,0.16216216216216217,0.8333333333333334,0.7,0.042682926829268296,0.75,0.9117647058823529,0.2767857142857143,0.7984189723320159,0.7903708191093685,0.7289719626168224
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.05,0.03,0.022296184673905373,0.9991804361343384,0.03636363636363636,0.02702702702702703,0.8,0.72,0.054878048780487805,0.8735632183908046,0.7450980392156863,0.09821428571428571,0.8039603960396039,0.7952189842798717,0.7383177570093458
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.05,0.1,0.022296184673905373,0.7826725244522095,0.03636363636363636,0.08108108108108109,0.8,0.72,0.054878048780487805,0.8514851485148515,0.8431372549019608,0.13392857142857142,0.8284023668639053,0.8157635467980295,0.7663551401869159
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.05,0.2,0.022296184673905373,0.01323282066732645,0.03636363636363636,0.16216216216216217,0.8,0.72,0.054878048780487805,0.75,0.9117647058823529,0.2767857142857143,0.7976424361493124,0.7893792096509396,0.7289719626168224
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.08,0.03,0.022296184673905373,0.9991804361343384,0.03636363636363636,0.02702702702702703,0.8,0.72,0.054878048780487805,0.8735632183908046,0.7450980392156863,0.09821428571428571,0.8039603960396039,0.7952189842798717,0.7383177570093458
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.08,0.1,0.022296184673905373,0.7826725244522095,0.03636363636363636,0.08108108108108109,0.8,0.72,0.054878048780487805,0.8514851485148515,0.8431372549019608,0.13392857142857142,0.8284023668639053,0.8157635467980295,0.7663551401869159
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.08,0.2,0.022296184673905373,0.01323282066732645,0.03636363636363636,0.16216216216216217,0.8,0.72,0.054878048780487805,0.75,0.9117647058823529,0.2767857142857143,0.7976424361493124,0.7893792096509396,0.7289719626168224
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.1,0.03,0.022296184673905373,0.9991804361343384,0.03636363636363636,0.02702702702702703,0.8,0.72,0.054878048780487805,0.8735632183908046,0.7450980392156863,0.09821428571428571,0.8039603960396039,0.7952189842798717,0.7383177570093458
